city,normalized_submarket,project_id,project_name,geography_tier,rooms,unit_type,internal_area_sqm,balcony_area_sqm,garden_area_sqm,floor,floors,orientation,parking,storage,mamad,price_ils,price_type,observed_date,source_url,applicable_segments,quantitative_unit_price_area,notes,retrieved_at,source_type,verification_status
נתניה,קריית השרון,net-gabay-park,גבאי על הפארק,ADJACENT,6,penthouse,189.2,,,,,,,,,,CONTEXT_ONLY,,https://gabaygroup.com/projects/%D7%91%D7%A0%D7%99%D7%9E%D7%99%D7%9F-%D7%A0%D7%AA%D7%A0%D7%99%D7%94/,APT36_37;APT38;APT39,false,Price semantics normalized to CONTEXT_ONLY in freeze pass; no quantitative promotion.,,,
נתניה,קריית השרון,net-the-strip,THE STRIP נתניה,BROADER,6,penthouse,209,,,38,,,,,,7999000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&maxRooms=6&minRooms=6&property=7&sort=price-asc,APT36_37;APT38;APT39,false,,,,
אשקלון,ברנע,ash-peretz-wine,פרץ בוני הנגב בעיר היין,BROADER,,garden_apartment,,,,ground,,,,,,2200000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7,APT1_2;APT3,false,,,,
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,3,standard_apartment,77.5,,,,,,,,,1790000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/yad1/newprojects/south?category=1,,false,,,,
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,5,penthouse,152,,,,,,,,,4450000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/yad1/newprojects/south?category=1,APT36_37;APT38;APT39,false,,,,
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,6,penthouse,173,,,,,,,,,5250000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/yad1/newprojects/south?category=1,APT36_37;APT38;APT39,false,,,,
תל אביב-יפו,יד אליהו,ta-family-groove,FAMILY GROOVE TLV — נגבה 21-27,CORE,3,garden_apartment,76,,31,,,,,,,3116000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/project/18174,APT1_2;APT3,false,Project-level starting-price model; not promoted to quantitative evidence.,2026-09-12,major_property_platform,PUBLIC_PROJECT_MODEL
תל אביב-יפו,יד אליהו,ta-rayk-east-side,RAYK EAST SIDE,CORE,,garden_duplex,,,,,,,,,,,CONTEXT_ONLY,2026-09-12,https://rayklocations.raykgroup.com/east/,APT1_2;APT3;APT38;APT39,false,Official project page explicitly advertises garden-duplex product; no model-specific room/area/price pair located.,2026-09-12,official_developer,PRODUCT_TYPE_VERIFIED
תל אביב-יפו,יד אליהו,ta-galipolis,GALIPOLIS,CORE,,garden_duplex,,,,,,,,,,,CONTEXT_ONLY,2026-09-12,https://almog-ltd.com/project/galipoliz/,APT1_2;APT3;APT38;APT39,false,Developer page states garden-duplex product exists; no explicit model area+price recovered.,2026-09-12,official_developer,PRODUCT_TYPE_VERIFIED
נתניה,קריית השרון,net-aqua-sense,AQUA SENSE,BROADER,5,standard_apartment,,,,,,,,,,3800000,STARTING_PRICE,2026-09-12,https://www.nadlan.com/project/aqua-sense,,false,Starting-price project context; no area linked to same model.,2026-09-12,project_portal,PUBLIC_PROJECT_PRICE
אשקלון,ברנע,ash-efi-wine,אפי בעיר היין,BROADER,5.5,penthouse,,,,,,,,,,3710000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?area=21&category=1&city=7100&neighborhood=991473,APT36_37;APT38;APT39,false,Starting price; same-model area not exposed.,2026-09-12,major_property_platform,PUBLIC_PROJECT_PRICE
אשקלון,ברנע,ash-lev-agamim,לב אגמים 3+4,BROADER,4,garden_apartment,,,,,,,,,,2500000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?area=21&category=1&city=7100,APT1_2;APT3,false,"Starting price, area missing.",2026-09-12,major_property_platform,PUBLIC_PROJECT_PRICE
אשקלון,ברנע,ash-lev-agamim,לב אגמים 3+4,BROADER,5,penthouse,,,,,,,,,,2580000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?area=21&category=1&city=7100,APT36_37;APT38;APT39,false,"Starting price, area missing.",2026-09-12,major_property_platform,PUBLIC_PROJECT_PRICE
אשקלון,ברנע,ash-peretz-wine,פרץ בוני הנגב בעיר היין,BROADER,5,standard_apartment,126,14.36,,,,,2,4.47 m²,,1441898,HISTORICAL_MARKETING_PRICE,historical government-program price list,https://www.peretzbh.co.il/price-list/,,false,"Historical program price/model; preserved for context only, not current market quantitative evidence.",2026-09-12,official_developer_program_price_list,HISTORICAL_MODEL_VERIFIED
אשקלון,ברנע,ash-project-k-wine,K — עיר היין אשקלון,BROADER,3,standard_apartment,,,,,,,,,,1890000,STARTING_PRICE,2026-09-02,https://www.diraly.co.il/projects/k-%D7%A2%D7%99%D7%A8-%D7%94%D7%99%D7%99%D7%9F-%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F,,false,Public project starting price; no model area linked on price table.,2026-09-12,project_portal,PUBLIC_PROJECT_PRICE
אשקלון,ברנע,ash-project-k-wine,K — עיר היין אשקלון,BROADER,5,penthouse,,,,,,,,,,5320000,HISTORICAL_MARKETING_PRICE,2024-09-24,https://ashkelonim.co.il/%D7%A0%D7%93%D7%9C-%D7%9F-%D7%91%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/%D7%A4%D7%A8%D7%95%D7%99%D7%A7%D7%98-%D7%9E%D7%92%D7%93%D7%9C%D7%99%D7%9D-%D7%97%D7%93%D7%A9-%D7%94%D7%95%D7%A9%D7%A7-%D7%91%D7%A2%D7%99%D7%A8-%D7%94%D7%99%D7%99%D7%9F-598442,APT36_37;APT38;APT39,false,Historical launch article: penthouses with infinity pool starting ₪5.32M; area not linked.,2026-09-12,secondary_reporting,HISTORICAL_MARKETING_CONTEXT
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,4,standard_apartment,106,,,,,,,,,2110000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?category=1,,false,Starting-price model; preserved as context despite price+area.,2026-09-12,major_property_platform,PUBLIC_PROJECT_MODEL
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,5,standard_apartment,126,,,,,,,,,2290000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?category=1,,false,Starting-price model; preserved as context despite price+area.,2026-09-12,major_property_platform,PUBLIC_PROJECT_MODEL
אשקלון,ברנע,ash-jade,JADE אשקלון,BROADER,6,standard_apartment,146,,,,,,,,,2680000,STARTING_PRICE,2026-09-12,https://www.yad2.co.il/yad1/newprojects/south?category=1,,false,Starting-price model; preserved as context despite price+area.,2026-09-12,major_property_platform,PUBLIC_PROJECT_MODEL
