city,project_id,project_name,audit_type,search_query,outcome,source_url,newly_added,notes
אשקלון,ash-ayal-peretz-wine,אייל פרץ בעיר היין,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,אייל פרץ בעיר היין מחיר,NOT_FOUND_AFTER_TARGETED_SEARCH,https://www.e-p.co.il/project/%D7%A2%D7%99%D7%A8-%D7%94%D7%99%D7%99%D7%9F-2-%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F/,false,
אשקלון,ash-avisror-wine,אביסרור בעיר היין,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,אביסרור בעיר היין מחיר דירות,NOT_FOUND_AFTER_TARGETED_SEARCH,,false,
אשקלון,ash-efi-wine,אפי בעיר היין,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,אפי בעיר היין 5.5 פנטהאוז מחיר,STARTING_PRICE_ONLY,https://www.yad2.co.il/yad1/newprojects/south?area=21&category=1&city=7100&neighborhood=991473,false,
אשקלון,ash-jade,JADE אשקלון,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,JADE אשקלון 4 5 6 חדרים מחיר,PRICE_MODEL_FOUND_STARTING,https://www.yad2.co.il/yad1/newprojects/south?category=1,false,
אשקלון,ash-dimri-wine,מגדלי עיר היין,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,מגדלי עיר היין דמרי מחיר,STARTING_PRICE_ONLY,https://www.dimri.co.il/projects/%D7%A2%D7%99%D7%A8-%D7%94%D7%99%D7%99%D7%9F/,false,
אשקלון,ash-yama-marina,YAMA — מרינה אשקלון,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,YAMA מרינה אשקלון מחיר,STARTING_PRICE_ONLY,https://www.dimri.co.il/,false,
אשקלון,ash-lev-agamim,לב אגמים 3+4,EXISTING_PROJECT_TARGETED_PRICE_SEARCH,לב אגמים אשקלון דירת גן פנטהאוז מחיר,STARTING_PRICE_ONLY,https://www.yad2.co.il/yad1/newprojects/south?area=21&category=1&city=7100,false,
אשקלון,ash-project-k-wine,K — עיר היין אשקלון,MISSED_PROJECT_CANDIDATE,פרויקט K עיר היין אשקלון מחיר 3 6 חדרים,PRICE_MODEL_FOUND,https://www.yad2.co.il/yad1/project/16063,true,Major active City Wine alternative; added to v2.
אשקלון,candidate-avnei-hoshen,אבני חושן,MISSED_PROJECT_CANDIDATE,אבני חושן אשקלון פרויקט מחיר,NOT_ADDED_GEOGRAPHY_IDENTITY_AMBIGUOUS,https://www.yad2.co.il/yad1/project/18043,false,Yad1 identifies Ramot Ashkelon while similarly named official pages can refer to a different development identity. Not merged without stronger identity resolution.
נתניה,,2–3R garden resale in Kiryat Hasharon,SPECIAL_GAP_TARGETED_SEARCH,קריית השרון דירת גן 2 חדרים / 3 חדרים 55–85 מ״ר,NOT_FOUND_AFTER_TARGETED_SEARCH,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=3,false,Current exact-submarket results were larger 5R garden units; no defensible 2–3R 55–85 m² resale observation located. Project-level Bereshit 3R garden remains separate context.
אשקלון,,2–3R garden resale in Barnea,SPECIAL_GAP_TARGETED_SEARCH,ברנע דירת גן 2 חדרים / 3 חדרים 50–90 מ״ר,NOT_FOUND_AFTER_TARGETED_SEARCH,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=3,false,Exact Barnea current garden supply surfaced larger units; no direct small-garden sale listing found. 3R penthouse context added separately; no product-class substitution.
תל אביב-יפו,,220–300 m² 6R multi-level Yad Eliyahu,SPECIAL_GAP_TARGETED_SEARCH,יד אליהו 6 חדרים 220 300 דופלקס טריפלקס פנטהאוז,NOT_FOUND_AFTER_TARGETED_SEARCH,,false,Two direct 150/170 m² duplex listings were added; no defensible 220–300 m² direct multi-level asking or sale located.
